movie_id,movie_name,year,certificate,runtime,rating,description,director,director_id,star,star_id,votes,gross(in $),Genre1,Genre2,Genre3
tt0114148,Pocahontas,1995,G,81 min,6.7,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.,"Mike Gabriel, 
Eric Goldberg",/name/nm0300265/,"Mel Gibson, 
Linda Hunt, 
Christian Bale, 
Joe Baker","/name/nm0325196/,/name/nm0000154/,/name/nm0001373/,/name/nm0000288/,/name/nm0048589/",191821.0,141600000.0,Animation, Adventure, Drama
tt3606752,Cars 3,2017,G,102 min,6.7,Lightning McQueen sets out to prove to a new generation of racers that he's still the best race car in the world.,Brian Fee,/name/nm0270263/,"Owen Wilson, 
Cristela Alonzo, 
Chris Cooper, 
Nathan Fillion","/name/nm0005562/,/name/nm2242399/,/name/nm0177933/,/name/nm0277213/",105449.0,152901115.0,Animation, Adventure, Comedy
tt0061852,The Jungle Book,1967,G,78 min,7.6,Bagheera the Panther and Baloo the Bear have a difficult time trying to convince a boy to leave the jungle for human civilization.,Wolfgang Reitherman,/name/nm0718627/,"Phil Harris, 
Sebastian Cabot, 
Louis Prima, 
Bruce Reitherman","/name/nm0365201/,/name/nm0001982/,/name/nm0697515/,/name/nm0718624/",187503.0,141843612.0,Animation, Adventure, Comedy
tt1216475,Cars 2,2011,G,106 min,6.2,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,"John Lasseter, 
Bradford Lewis",/name/nm0005124/,"Owen Wilson, 
Larry the Cable Guy, 
Michael Caine, 
Emily Mortimer","/name/nm0506977/,/name/nm0005562/,/name/nm1249256/,/name/nm0000323/,/name/nm0607865/",196881.0,191452396.0,Animation, Adventure, Comedy
tt5848272,Ralph Breaks the Internet,2018,PG,112 min,7.0,"Six years after the events of ""Wreck-It Ralph,"" Ralph and Vanellope, now friends, discover a wi-fi router in their arcade, leading them into a new adventure.","Phil Johnston, 
Rich Moore",/name/nm1601882/,"John C. Reilly, 
Sarah Silverman, 
Gal Gadot, 
Taraji P. Henson","/name/nm0601781/,/name/nm0000604/,/name/nm0798971/,/name/nm2933757/,/name/nm0378245/",166277.0,201091711.0,Animation, Adventure, Comedy
tt0116583,The Hunchback of Notre Dame,1996,G,91 min,7.0,"A deformed bell-ringer must assert his independence from a vicious government minister in order to help his friend, a gypsy dancer.","Gary Trousdale, 
Kirk Wise",/name/nm0873779/,"Demi Moore, 
Jason Alexander, 
Mary Kay Bergman, 
Corey Burton","/name/nm0936374/,/name/nm0000193/,/name/nm0004517/,/name/nm0074834/,/name/nm0123553/",161710.0,100138851.0,Animation, Drama, Family
tt0070608,Robin Hood,1973,G,83 min,7.5,The story of the legendary British outlaw portrayed with the characters as anthropomorphic animals.,"Wolfgang Reitherman, 
David Hand",/name/nm0718627/,"Brian Bedford, 
Phil Harris, 
Roger Miller, 
Peter Ustinov","/name/nm0359457/,/name/nm0066028/,/name/nm0365201/,/name/nm0589248/,/name/nm0001811/",130759.0,32056467.0,Animation, Adventure, Comedy
tt0396555,Meet the Robinsons,2007,G,95 min,6.8,"Lewis is a brilliant inventor who meets mysterious stranger named Wilbur Robinson, whisking Lewis away in a time machine and together they team up to track down Bowler Hat Guy in a showdown that ends with an unexpected twist of fate.",Stephen J. Anderson,/name/nm0027459/,"Daniel Hansen, 
Wesley Singerman, 
Angela Bassett, 
Jordan Fry","/name/nm0360743/,/name/nm1130617/,/name/nm0000291/,/name/nm1627748/",103593.0,97822171.0,Animation, Adventure, Comedy
tt0107688,The Nightmare Before Christmas,1993,PG,76 min,7.9,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",Henry Selick,/name/nm0783139/,"Danny Elfman, 
Chris Sarandon, 
Catherine O'Hara, 
William Hickey","/name/nm0000384/,/name/nm0001697/,/name/nm0001573/,/name/nm0382676/",348433.0,75082668.0,Animation, Family, Fantasy
tt2277860,Finding Dory,2016,PG,97 min,7.3,Friendly but forgetful blue tang Dory begins a search for her long-lost parents and everyone learns a few things about the real meaning of family along the way.,"Andrew Stanton, 
Angus MacLane",/name/nm0004056/,"Ellen DeGeneres, 
Albert Brooks, 
Ed O'Neill, 
Kaitlin Olson","/name/nm0533691/,/name/nm0001122/,/name/nm0000983/,/name/nm0642145/,/name/nm0647698/",282553.0,486295561.0,Animation, Adventure, Comedy
tt0397892,Bolt,2008,PG,96 min,6.8,The canine star of a fictional sci-fi/action show that believes his powers are real embarks on a cross country trek to save his co-star from a threat he believes is just as real.,"Byron Howard, 
Chris Williams",/name/nm0397174/,"John Travolta, 
Miley Cyrus, 
Susie Essman, 
Mark Walton","/name/nm0930261/,/name/nm0000237/,/name/nm1415323/,/name/nm0261435/,/name/nm0910559/",216151.0,114053579.0,Animation, Adventure, Comedy
tt0113198,A Goofy Movie,1995,G,78 min,6.9,"When Max makes a preposterous promise to a girl he has a crush on, his chances to fulfilling it seem hopeless when he is dragged onto a cross-country trip with his embarrassing father, Goofy.",Kevin Lima,/name/nm0510674/,"Bill Farmer, 
Jason Marsden, 
Jim Cummings, 
Kellie Martin","/name/nm0267724/,/name/nm0005189/,/name/nm0191906/,/name/nm0005192/",57317.0,35348597.0,Animation, Adventure, Comedy
tt0029583,Snow White and the Seven Dwarfs,1937,Approved,83 min,7.6,"Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.","William Cottrell, 
David Hand, 
Wilfred Jackson, 
Larry Morey, 
Perce Pearce, 
Ben Sharpsteen",/name/nm0183183/,"Adriana Caselotti, 
Harry Stockwell, 
Lucille La Verne, 
Roy Atwell","/name/nm0359457/,/name/nm0414144/,/name/nm0604392/,/name/nm0668998/,/name/nm0789313/,/name/nm0143314/,/name/nm0830968/,/name/nm0479164/,/name/nm0041165/",203669.0,184925485.0,Animation, Adventure, Family
